"Date","Nickname","State","Location","Max.Temperature..C.","isFire"
"3/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",23,TRUE
"4/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",23.1,TRUE
"5/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",34.2,TRUE
"6/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",31,TRUE
"7/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",32.4,TRUE
"8/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",27.6,TRUE
"9/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",24.5,TRUE
"10/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",23.9,TRUE
"11/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",29.2,TRUE
"12/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",27.3,TRUE
"13/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",32.7,TRUE
"14/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",20.4,TRUE
"15/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",21.3,TRUE
"16/1/94","1994 Eastern seaboard fires","New South Wales","Batemans Bay",28.4,TRUE
"27/12/93","1994 Eastern seaboard fires","New South Wales","Blue Mountains",10.7,TRUE
"28/12/93","1994 Eastern seaboard fires","New South Wales","Blue Mountains",14.2,TRUE
"29/12/93","1994 Eastern seaboard fires","New South Wales","Blue Mountains",21.4,TRUE
"30/12/93","1994 Eastern seaboard fires","New South Wales","Blue Mountains",26,TRUE
"31/12/93","1994 Eastern seaboard fires","New South Wales","Blue Mountains",26.3,TRUE
"1/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",27,TRUE
"2/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",30.4,TRUE
"3/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",30.1,TRUE
"4/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",23.5,TRUE
"5/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",27.5,TRUE
"6/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",27.4,TRUE
"7/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",29,TRUE
"8/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",26.4,TRUE
"9/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",23.6,TRUE
"10/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",21,TRUE
"11/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",26.9,TRUE
"12/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",29.4,TRUE
"13/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",31.3,TRUE
"14/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",25.6,TRUE
"15/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",12.9,TRUE
"16/1/94","1994 Eastern seaboard fires","New South Wales","Blue Mountains",24.2,TRUE
"1/9/94","1994 East Coast Bushfires","Queensland","Brisbane",22.8,TRUE
"1/9/94","1994 East Coast Bushfires","Queensland","Townsville",26.2,TRUE
"8/1/97","1997 Wooroloo bushfire","Western Australia","Wooroloo",39.6,TRUE
"21/1/97","1997 Dandenongs bushfire","Victoria","Dandenong Ranges",37.5,TRUE
"21/1/97","1997 Dandenongs bushfire","Victoria","Arthur's Seat",39.7,TRUE
"21/1/97","1997 Dandenongs bushfire","Victoria","Creswick",38.7,TRUE
"2/12/97","1997 Lithgow bushfire","New South Wales","Lithgow",27.9,TRUE
"2/12/97","1997 Menai bushfire","New South Wales","Menai",38.1,TRUE
"2/12/97","1997 Perth and South-West Region bushfires","Western Australia","Perth",28.9,TRUE
"31/12/97","1997 New Year's Eve bushfire","Victoria","Tawonga",31.6,TRUE
"1/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",34,TRUE
"2/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",34.1,TRUE
"3/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",27.4,TRUE
"4/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",28,TRUE
"5/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",26,TRUE
"6/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",27.6,TRUE
"7/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",22.1,TRUE
"8/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",25.5,TRUE
"9/1/98","1997 New Year's Eve bushfire","Victoria","Tawonga",28.2,TRUE
"31/12/97","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",32.5,TRUE
"1/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",36.7,TRUE
"2/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",34.5,TRUE
"3/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",22.8,TRUE
"4/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",23.8,TRUE
"5/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",21.9,TRUE
"6/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",25.1,TRUE
"7/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",25.5,TRUE
"8/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",21.9,TRUE
"9/1/98","1997 New Year's Eve bushfire","Victoria","Carey River State Forest",28.2,TRUE
"2/12/98","1998 Linton bushfire","Victoria","Linton",29.4,TRUE
"18/12/00","2000 Victoria Dadswell Bridge bushfire","Victoria","Dadswell Bridge",33,TRUE
"24/12/01","2001 Black Christmas bushfires","New South Wales","Grose Valley",32.6,TRUE
"25/12/01","2001 Black Christmas bushfires","New South Wales","Lane Cove National Park",31.5,TRUE
"25/12/01","2001 Black Christmas bushfires","New South Wales","Royal National Park",32.6,TRUE
"25/12/01","2001 Black Christmas bushfires","New South Wales","Blue Mountains",31.8,TRUE
"17/10/02","2002 Granite Belt Bushfires","Queensland","Ballandean/Glen Aplin",31.3,TRUE
"23/10/02","2002 Toowoomba, Tara and Gatton: Bushfires","Queensland","Toowoomba",34.4,TRUE
"23/10/02","2002 Toowoomba, Tara and Gatton: Bushfires","Queensland","Tara",35.5,TRUE
"23/10/02","2002 Toowoomba, Tara and Gatton: Bushfires","Queensland","Gatton",35.8,TRUE
"17/12/02","2002 Big Desert Fire","Victoria","Big Desert Wilderness Park",41.7,TRUE
"17/12/02","2002 Big Desert Fire","Victoria","Wyperfield National Park",40.8,TRUE
"8/1/03","2003 Eastern Victorian alpine bushfires","Victoria","Mt Buffalo",21.7,TRUE
"8/1/03","2003 Eastern Victorian alpine bushfires","Victoria","Bright",21.7,TRUE
"18/1/03","2003 Canberra bushfires","Australian Capital Territory","Canberra",38.4,TRUE
"10/1/05","2005 Eyre Peninsula bushfire","South Australia","Wangary",34.5,TRUE
"10/1/05","2005 Eyre Peninsula bushfire","South Australia","Wanilla",38.2,TRUE
"10/1/05","2005 Eyre Peninsula bushfire","South Australia","Port Lincoin",39,TRUE
"10/1/05","2005 Eyre Peninsula bushfire","South Australia","North Shields",39,TRUE
"10/1/05","2005 Eyre Peninsula bushfire","South Australia","Louth Bay",39,TRUE
"31/12/05","2005 Victoria bushfire","Victoria","Stawell",40.6,TRUE
"31/12/05","2005 Victoria bushfire","Victoria","Yea",40.8,TRUE
"19/1/06","2006 Grampians Fire","Victoria","The Grampians",33.7,TRUE
"22/1/06","2006 Grampians Fire","Victoria","Dunkeld",41.3,TRUE
"6/2/06","2006 Pulletop bushfire","New South Wales","Pulletop",35.4,TRUE
"24/9/06","2006 Shoalhaven bushfire","New South Wales","Shoalhaven",30.3,TRUE
